,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6
0,-85,-77,-91,-62,-68,-100,-60,-87,-88,-100,-88,-100
1,-80,-73,-91,-66,-65,-100,-61,-86,-88,-100,-89,-100
2,-85,-80,-91,-66,-57,-100,-63,-87,-91,-100,-90,-100
3,-85,-81,-86,-59,-54,-100,-60,-87,-86,-100,-85,-100
4,-89,-85,-85,-60,-52,-100,-61,-87,-90,-100,-88,-100
5,-93,-80,-91,-63,-55,-100,-64,-87,-88,-100,-91,-100
6,-85,-79,-91,-64,-54,-100,-62,-87,-88,-100,-92,-100
7,-85,-78,-91,-62,-53,-100,-61,-87,-88,-100,-88,-100
8,-85,-84,-92,-62,-51,-100,-62,-87,-88,-100,-88,-100
9,-85,-78,-90,-63,-56,-100,-62,-87,-91,-100,-94,-100
10,-92,-85,-91,-56,-65,-100,-61,-87,-88,-100,-88,-100
11,-85,-78,-91,-55,-54,-100,-64,-86,-88,-100,-88,-100
12,-88,-81,-88,-64,-55,-100,-63,-87,-88,-100,-88,-100
13,-85,-84,-92,-63,-54,-100,-64,-87,-88,-100,-88,-100
14,-85,-79,-91,-66,-55,-100,-65,-87,-88,-100,-88,-100
15,-90,-75,-90,-60,-51,-100,-63,-87,-88,-100,-91,-100
16,-88,-77,-91,-67,-56,-100,-69,-87,-88,-100,-88,-100
17,-85,-80,-89,-64,-55,-100,-64,-87,-88,-100,-88,-100
18,-85,-77,-91,-64,-56,-100,-63,-87,-91,-100,-88,-100
19,-85,-78,-94,-62,-65,-100,-60,-87,-88,-100,-88,-100
